Model,Scenario,Region,Variable,Unit,1990,1995,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2020,2021,2022,2023,2024,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5ASIA,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,14046.44726,,,,,17484.41778,17532.26438,,,,,,6824.709593,,3337.318888,,1495.706356,,654.4717293,,175.1926581,,-230.2811886,,-529.9758114,,-761.4769452
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5ASIA,Emissions|CO2|AFOLU,Mt CO2/yr,,,,,,,,,,,,,1646.537933,,,,,1525.9761,1404.0114,,,,,,542.4260716,,102.7150494,,-287.4243423,,-565.097413,,-721.3157809,,-936.9742654,,-1147.892509,,-1343.874924
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5ASIA,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,,,,,,,,,,,,,12399.90932,,,,,15958.44168,16128.25298,,,,,,6282.283522,,3234.603839,,1783.130699,,1219.569142,,896.508439,,706.6930767,,617.9166978,,582.3979785
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5ASIA,Emissions|CO2|Waste,Mt CO2/yr,,,,,,,,,,,,,0,,,,,0,0,,,,,,0,,0,,0,,0,,0,,0,,0,,0
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5ASIA,Emissions|F-Gases,Mt CO2-equiv/yr,,,,,,,,,,,,,159.7757426,,,,,392.0735884,681.7774038,,,,,,380.0715903,,420.5280572,,443.9063614,,412.6145378,,386.0911611,,371.7967836,,358.1286544,,345.0330207
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5ASIA,Emissions|HFC,kt HFC134a-equiv/yr,,,,,,,,,,,,,40.35489819,,,,,184.4474066,383.1733611,,,,,,226.599783,,260.5461971,,287.9849281,,272.344118,,259.7596675,,251.0984023,,242.1779718,,233.5456885
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5ASIA,Emissions|Kyoto Gases,Mt CO2-equiv/yr,,,,,,,,,,,,,18678.93926,,,,,22734.59368,23112.81015,,,,,,10601.74064,,6731.305017,,4642.585636,,3574.929078,,2802.002901,,2207.678507,,1819.676859,,1483.158662
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5ASIA,Emissions|N2O,kt N2O/yr,,,,,,,,,,,,,3368.453769,,,,,3638.187556,3787.793674,,,,,,3544.762965,,3547.061066,,3487.811031,,3354.732449,,2937.875851,,2840.906346,,2808.415335,,2748.84974
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5ASIA,Emissions|N2O|AFOLU,kt N2O/yr,,,,,,,,,,,,,2632.8568,,,,,2774.6705,2916.4843,,,,,,2814.425876,,2787.004355,,2750.493743,,2721.246175,,2646.95228,,2556.903913,,2531.494705,,2479.120567
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5ASIA,Emissions|N2O|Waste,kt N2O/yr,,,,,,,,,,,,,139.4010826,,,,,145.0691833,150.729169,,,,,,158.655176,,162.75139,,163.048201,,159.957492,,154.542639,,147.52029,,139.488226,,131.328422
